text,label
"main game yuk, bosen nih","0"
"Dasar anjing, gausah main game lagi lo","0"
"wkwkwk lucu banget sumpah","0"
"kamu cantik banget hari ini, beda deh dari yang lain","1"
"sendiri di rumah? asik dong bisa santai","1"
"eh besok ada tugas apa ya? lupa gue","0"
"kamu kelas berapa sekarang? sekolah dimana?","1"
"jangan bilang siapa2 ya kita chat gini, ini rahasia kita aja","1"
"punya foto lain gak? kirim dong, pengen liat","1"
"jelek banget sih foto profil lo, ganti gih","0"
"lagi pake baju apa sekarang? fotoin dong","1"
"panggil kakak aja, jangan om, biar lebih akrab","1"
"orang tuamu tau kita temenan? mereka gak akan marah kan?","1"
"kalo mau curhat apa aja bisa ke kakak, kakak pendengar yang baik","1"
"suara kamu pasti lucu, telponan yuk?","1"
"Monyet bau, gausah banyak bacot","0"
"lagi di mana? udah makan belom?","0"
"aku lagi sedih nih, bisa temenin ngobrol ga?","0"
"kakak ada hadiah buat kamu, tapi ada syaratnya","1"
"kamu pinter ya, pasti ranking 1","0"
"kok kamu sendirian terus, lagi berantem sama temen?","1"
"Banci lo, main game aja cupu","0"
"tinggalnya di mana? deket gak dari sekolah?","1"
"kapan-kapan kita ketemuan yuk, berdua aja","1"
"gak usah takut, kakak orang baik kok","1"
"minta nomor WA kamu dong, lebih enak ngobrol di sana","1"
"pap dong bebe, pake seragam sekolah ya","1"
"spill foto lagi dong yang baru, pengen liat senyum manis mu","1"
"manis banget sih kamu, kayak permen","1"
"kok imut amat sih, gemes pengen cubit","1"
"aman kan beb? gak ada yang liat HP mu?","1"
"ortu lagi kemana? sendirian di rumah ya?","1"
"jangan kasih tau siapa-siapa ya kita chat gini","1"
"rahasi kita aja, janji ya sayang","1"
"punya foto pake rok pendek gak? kirim ke akang","1"
"lagi pake daleman warna apa hayo?","1"
"panggil abang aja, biar lebih deket","1"
"abang ada hadiah buat adik, tapi harus nurut dulu","1"
"kamera HP mu jernih kan? coba video call bentar","1"
"suara kamu pasti seksi, telpon yuk malam ini","1"
"tinggal di Kendari ya? deket pantai gak rumahmu?","1"
"kapan kita ketemu di Kendari? abang jemput","1"
"abang janji gak macem-macem kok, percaya kan?","1"
"kamu kelas berapa sekarang? masih SMP ya?","1"
"nomor WA mana? kasih dong, lebih enak di sana","1"
"jangan save nama abang pake nama cowok ya, nanti ketauan","1"
"lagi mandi belum? fotoin dong pas lagi basah","1"
"abang suka yang masih polos kayak kamu","1"
"main tiktok yuk bareng, duet sama abang","1"
"follow IG abang ya, tapi jangan kasih tau siapa-siapa","1"
"kamu pernah ciuman belum? abang ajarin","1"
"dasar jelek muka lo kayak tembok","0"
"bego banget sih main game aja cupu","0"
"anjing lo, gausah sok jago","0"
"monyet bau, mending mati aja","0"
"suara lo kayak bebek kepeleset","0"
"tai lo, mukanya kek tai kucing","0"
"guk guk guk, anjing pada ngapain lo?","0"
"cupu banget hidup lo, mending bun diri","0"
"babi lo, makan apa sih badan lo gitu","0"
"kontol lo kecil kali ya makanya galau","0"
"lagi dimana bro?","0"
"makan yuk di warteg","0"
"PR matematika nomor berapa tadi?","0"
"besok ada ulangan apa ya?","0"
"game apa yang lagi seru sekarang?","0"
"wkwkwk lucu banget sumpah","0"
"eh kemarin nonton bola gak?","0"
"lagi ngapain nih malem?","0"
"udah makan belum? laper gak?","0"
"tidur yuk, udah malem","0"
"besok ketemu di kantin ya","0"
